City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Brownsville,US,2022-02-01 20:19:35,25.9018,-97.4975,71.58,77,40,8.05,scattered clouds
125,Amahai,ID,2022-02-01 20:23:53,-3.3333,128.9167,77.79,81,98,5.73,overcast clouds
126,Atar,MR,2022-02-01 20:23:53,20.5169,-13.0499,79.34,12,96,7.83,overcast clouds
127,Zyryanka,RU,2022-02-01 20:23:53,65.75,150.85,-10.8,92,100,12.12,overcast clouds
128,Nishihara,JP,2022-02-01 20:23:53,26.1842,127.7558,61.88,94,100,8.05,mist
129,Lasa,IT,2022-02-01 20:23:54,46.6166,10.7002,39.11,94,100,8.21,light rain
130,Bengkulu,ID,2022-02-01 20:23:54,-3.8004,102.2655,73.35,87,100,6.67,overcast clouds
131,Norman Wells,CA,2022-02-01 20:23:54,65.282,-126.8329,-9.36,70,75,2.3,broken clouds
132,Victoria,HK,2022-02-01 20:22:56,22.2855,114.1577,61.25,91,100,1.01,overcast clouds
133,Hakkari,TR,2022-02-01 20:20:44,37.5833,44.1667,10.45,75,7,2.35,clear sky
134,Dalbandin,PK,2022-02-01 20:23:55,28.8947,64.4101,59.67,24,0,2.33,clear sky
135,Skovorodino,RU,2022-02-01 20:23:55,53.9833,123.9167,-15.0,97,51,3.83,broken clouds
136,Eucaliptus,BO,2022-02-01 20:23:56,-17.5833,-67.5167,56.89,54,95,6.91,overcast clouds
137,Kruisfontein,ZA,2022-02-01 20:24:32,-34.0033,24.7314,74.88,71,99,4.72,overcast clouds
138,Kajaani,FI,2022-02-01 20:24:56,64.2273,27.7285,15.85,86,75,5.75,broken clouds
139,Srednekolymsk,RU,2022-02-01 20:24:56,67.45,153.6833,-20.31,98,94,2.28,overcast clouds
140,Barberton,ZA,2022-02-01 20:24:57,-25.7884,31.0532,73.45,84,0,0.83,clear sky
141,Santa Isabel Do Rio Negro,BR,2022-02-01 20:24:57,-0.4139,-65.0192,80.96,80,100,2.71,overcast clouds
142,Laguna,US,2022-02-01 20:24:57,38.421,-121.4238,62.44,30,0,11.99,clear sky
143,Abu Kamal,SY,2022-02-01 20:24:58,34.4506,40.9171,50.2,59,0,8.9,clear sky
144,Port Elizabeth,ZA,2022-02-01 20:24:58,-33.918,25.5701,79.09,73,0,5.75,clear sky
145,Port Hardy,CA,2022-02-01 20:24:58,50.6996,-127.4199,41.18,81,100,5.75,overcast clouds
146,Chuy,UY,2022-02-01 20:24:10,-33.6971,-53.4616,73.63,45,0,8.72,clear sky
147,Faanui,PF,2022-02-01 20:24:59,-16.4833,-151.75,80.46,76,3,19.91,light rain
148,Demirci,TR,2022-02-01 20:24:59,39.0461,28.6589,35.58,90,96,7.67,overcast clouds
149,Brae,GB,2022-02-01 20:22:06,60.3964,-1.353,40.91,66,100,28.34,overcast clouds
150,Rabo De Peixe,PT,2022-02-01 20:24:59,37.8,-25.5833,58.28,94,20,6.91,few clouds
151,Severo-Kurilsk,RU,2022-02-01 20:23:58,50.6789,156.125,26.8,79,76,10.47,broken clouds
152,Upernavik,GL,2022-02-01 20:25:00,72.7868,-56.1549,-16.33,75,100,6.26,overcast clouds
153,Atbasar,KZ,2022-02-01 20:25:00,51.8,68.3333,0.84,98,100,3.85,overcast clouds
154,Port Hedland,AU,2022-02-01 20:25:00,-20.3167,118.5667,80.65,100,100,0.0,overcast clouds
155,Arraial Do Cabo,BR,2022-02-01 20:22:57,-22.9661,-42.0278,78.76,89,75,9.22,broken clouds
156,Port Lincoln,AU,2022-02-01 20:25:01,-34.7333,135.8667,60.66,56,52,17.87,broken clouds
157,Coihaique,CL,2022-02-01 20:22:04,-45.5752,-72.0662,68.61,37,75,10.36,broken clouds
158,Diego De Almagro,CL,2022-02-01 20:25:01,-26.3667,-70.05,79.57,22,0,16.82,clear sky
159,Thompson,CA,2022-02-01 20:25:01,55.7435,-97.8558,-14.64,64,20,10.36,few clouds
160,Oranjemund,NA,2022-02-01 20:25:02,-28.55,16.4333,66.09,87,68,4.12,broken clouds
