,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Ternate,ID,79.11,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
510,Bandrele,YT,82.15,clear sky,-12.9067,45.1914,Les Baobabs
511,Saint-Louis,SN,84.54,broken clouds,16.3333,-15.0,
514,Sinnamary,GF,77.97,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
518,Xuddur,SO,79.39,overcast clouds,4.1213,43.8894,Banjanay Hotel
520,Hidrolandia,BR,86.31,overcast clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
521,Grand Gaube,MU,79.38,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
522,Trat,TH,83.98,few clouds,12.5,102.5,สวนหนิง-อัศ
524,Cacoal,BR,77.58,broken clouds,-11.4386,-61.4472,Hotel BR 364
526,Sindou,BF,77.38,broken clouds,10.6667,-5.1667,LERABA HOTEL
528,Melo,UY,86.86,clear sky,-32.3667,-54.1833,Hotel Juana
538,Topolobampo,MX,78.06,clear sky,25.6,-109.05,Hotel Marina Topolobampo
539,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
543,Takoradi,GH,80.29,broken clouds,4.8845,-1.7554,Raybow International Hotel
546,Sabang,ID,80.13,broken clouds,5.8933,95.3214,Hotel Citra
552,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
557,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Hotel Central
559,Dabola,GN,78.17,overcast clouds,10.75,-11.1167,Hotel Tinkisso
562,Angoche,MZ,77.11,clear sky,-16.2325,39.9086,Guest House HESADA
564,Pemangkat,ID,76.41,moderate rain,1.1667,108.9667,Ramah Kost KITA
565,Harper,LR,79.45,scattered clouds,4.375,-7.7169,Screensaver
566,Luanda,AO,77.0,clear sky,-8.8368,13.2343,Hotel Fórum
574,Sekoma,BW,77.36,overcast clouds,-24.4,23.8833,
575,Kudahuvadhoo,MV,82.71,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
578,Saint Thomas,BB,81.72,few clouds,13.1833,-59.5833,Jefferson's House
580,Namatanai,PG,78.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
581,Hobyo,SO,77.79,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
583,Piacabucu,BR,80.74,clear sky,-10.4056,-36.4344,Piaçabuçu News
586,Celestun,MX,81.16,clear sky,20.8667,-90.4,Posada Lilia
590,Cockburn Town,TC,75.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
595,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
596,Eyl,SO,75.6,overcast clouds,7.9803,49.8164,Amiin Hotel
604,Inongo,CD,79.63,overcast clouds,-1.95,18.2667,Hotel Du Lac
613,Tete,MZ,78.89,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
615,West Bay,KY,80.08,few clouds,19.3667,-81.4167,Calypso Cove
617,Delta Del Tigre,UY,79.21,clear sky,-34.7633,-56.3853,FINCA SUAREZ
618,Huarmey,PE,75.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
621,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
623,Sao Miguel Do Araguaia,BR,78.94,light rain,-13.275,-50.1628,Hotel Executivo Palace
624,Manati,PR,83.73,scattered clouds,18.4275,-66.4921,Manati World Point Inn
625,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
628,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
631,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
632,Corralillo,CU,76.86,overcast clouds,22.9819,-80.5856,Hostal De Pedri
635,Taree,AU,76.1,light rain,-31.9,152.4667,All Seasons Country Lodge Taree
642,Maningrida,AU,77.7,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
645,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Poutur Pousada
646,Ahuimanu,US,78.85,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
654,Russas,BR,82.8,overcast clouds,-4.9403,-37.9758,Veredas do Vale Hotel
655,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
660,Kattivakkam,IN,76.06,moderate rain,13.2167,80.3167,Euronova Freezer
662,Luba,GQ,76.89,few clouds,3.4568,8.5547,
665,Paramirim,BR,78.31,moderate rain,-13.4425,-42.2389,Pousada Rio Pequeno
